codigo;filial;rota;m-4;m-3;m-2;m-1;forecast;estoque_in;estoque_livre;compras;transferencias;estoque_total;cmv
191;1002;1002;0;0;0;0;0;2110;2110;0;0;2110;14.25
191;1001;1001;0;0;0;0;0;0;0;0;0;0;0
205;1036;1036;2100;1650;1010;2340;1546;775;775;2740;0;3515;8.46
205;1021;1002->1021;170;220;280;120;249;158;158;220;0;378;7.62
205;1013;-;0;0;0;0;0;0;0;0;0;0;0
205;1010;1010;420;44;132;210;181;564;564;0;0;564;8.9
205;1009;1009;0;0;0;0;0;0;0;0;0;0;0
205;1006;1006;1410;1173;1040;1360;1435;3222;3182;280;0;3502;8.79
205;1003;1003;0;0;0;0;0;173;173;0;0;173;8.28
205;1002;1002;1300;1176;696;370;1014;2210;1990;60;0;2270;8.54
205;1001;1001;0;0;0;0;0;10;0;0;0;10;8.61
214;1021;1021;1;0;0;0;3;0;0;0;0;0;0
214;1003;1003;0;0;0;0;0;0;0;0;0;0;0
215;1036;1036;5;2;3;5;3;1962;1962;0;600;2562;8.93
215;1021;1021;0;0;29;0;10;451;451;0;0;451;8.93
215;1013;-;0;0;0;0;0;0;0;0;0;0;0
215;1010;1010;280;0;47;30;107;2140;2140;0;0;2140;8.93
215;1009;1009;0;0;0;0;0;0;0;0;0;0;0
215;1006;1006;690;522;440;315;542;259;259;0;0;259;8.93
215;1003;1003;0;0;0;0;0;322;322;0;0;322;8.93
215;1002;1002;0;0;0;0;0;91;91;0;0;91;8.93
215;1001;1001;0;0;0;0;0;0;0;0;0;0;0
230;1036;1036;0;0;0;0;0;620;620;0;0;620;8.82
230;1021;1021;0;0;0;0;0;0;0;30;0;30;0
230;1013;-;0;0;0;0;0;0;0;0;0;0;0
230;1010;1010;0;0;0;0;0;120;120;0;0;120;8.82
230;1009;1009;0;0;0;0;0;0;0;0;0;0;0
230;1006;1006;0;0;0;0;0;350;350;0;0;350;8.85
230;1003;1003;0;0;0;0;0;0;0;0;0;0;0
230;1002;1002;0;0;0;0;0;650;650;0;0;650;8.85
230;1001;1001;0;0;0;0;0;0;0;0;0;0;0
235;1036;1036;270;620;60;60;201;748;348;120;0;868;17.12
235;1024;1010->1024;0;0;0;0;0;0;0;0;0;0;0
235;1023;1036->1023;0;0;0;0;0;0;0;0;0;0;0
235;1021;1021;0;0;80;540;27;395;395;0;0;395;17.12
235;1010;1010;70;40;1060;1140;1123;714;14;980;0;1694;16.89
235;1009;1009;0;0;0;0;0;0;0;0;0;0;0
235;1006;1006;369;2920;500;0;1145;1671;1671;0;0;1671;16.63
235;1003;1003;0;0;0;0;0;5;5;0;0;5;17.09
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
