codigo;filial;rota;m-4;m-3;m-2;m-1;forecast;estoque_in;estoque_livre;compras;transferencias;estoque_total;cmv
142670;1002;1002;0;0;0;0;0;50;50;0;0;50;30
142676;1036;1036;3559;1600;3880;1560;2307;1920;1478;0;0;1920;10.05
142676;1021;1021;0;0;0;2092;1805;0;0;5520;0;5520;0
142676;1010;1010;148;120;410;50;193;140;140;120;0;260;10.01
142676;1009;1009;0;0;0;0;0;0;0;0;0;0;0
142676;1006;1006;0;0;0;0;0;360;360;1920;0;2280;9.97
142676;1002;1002;3190;3981;4640;5708;3359;0;0;10560;0;10560;0
142677;1036;1036;6730;5458;3850;9017;4386;10000;10000;0;0;10000;12.27
142677;1021;1021;1570;3210;6026;4000;5681;21353;0;0;0;21353;11.88
142677;1010;1010;400;460;480;204;402;1540;1540;0;0;1540;13.01
142677;1009;1009;0;0;0;0;0;0;0;0;0;0;0
142677;1003;1003;0;0;0;0;0;1;1;0;0;1;10.55
142677;1002;1002;10470;9800;7340;2574;8001;17220;0;0;0;17220;11.67
142678;1036;1036;9000;9500;7874;10250;7591;8100;4783;0;0;8100;8.77
142678;1021;1021;20150;22000;23500;10700;20294;0;0;31500;0;31500;0
142678;1010;1010;300;750;800;0;527;0;0;4500;0;4500;0
142678;1009;1009;0;0;0;0;0;0;0;0;0;0;0
142678;1006;1006;0;0;0;0;0;95;0;8100;0;8195;8.06
142678;1002;1002;9900;8100;8300;10550;10518;1650;0;31350;0;33000;8.3
142679;1036;1036;6200;3143;700;3700;2481;3900;3900;0;0;3900;8.82
142679;1021;1021;0;1500;600;3100;2000;206;0;34800;0;35006;8.87
142679;1010;1010;100;376;500;600;438;0;0;5850;0;5850;0
142679;1009;1009;0;0;0;0;0;0;0;0;0;0;0
142679;1006;1006;0;0;0;0;0;0;0;4050;0;4050;0
142679;1002;1002;4570;4708;1505;7900;3445;0;0;39900;0;39900;0
142680;1036;1036;2840;490;560;2680;830;45530;45530;0;0;45530;12.74
142680;1021;1021;0;0;0;0;327;2473;2473;0;0;2473;9.55
142680;1010;1010;0;0;100;280;100;200;200;0;0;200;12.74
142680;1009;1009;0;0;0;0;0;0;0;0;0;0;0
142680;1006;1006;0;0;0;0;0;1;1;0;0;1;9.23
142680;1002;1002;110;140;0;2450;223;22470;22308;0;0;22470;12.78
142682;1021;1021;0;0;0;0;0;68;68;0;0;68;33
142682;1002;1002;0;0;0;0;0;4;4;0;0;4;33
142699;1021;1021;0;0;0;0;0;75;0;0;0;75;1.05
142706;1021;1021;0;0;0;0;0;1;0;0;0;1;1.06
142708;1021;1021;0;2;0;0;1;38;38;0;0;38;80.19
142709;1021;1021;0;0;0;0;0;132;132;0;0;132;17.68
142844;1021;1021;0;0;0;0;0;10;10;0;0;10;1.13
142845;1021;1021;0;0;0;0;0;2350;2350;0;0;2350;1.14
142846;1021;1021;0;0;0;0;0;4400;4400;0;0;4400;1.14
142847;1021;1021;0;0;0;0;0;100;100;0;0;100;1.13
142848;1021;1021;0;0;0;0;0;1950;1950;0;0;1950;1.14
142848;1006;1006;0;0;0;200;0;10;10;0;0;10;1.14
142852;1021;1021;19;0;0;0;4;0;0;0;0;0;0
142852;1013;-;0;0;0;0;0;0;0;0;0;0;0
142855;1021;1021;0;0;0;0;0;200;0;0;0;200;5.08
142860;1021;1021;0;0;0;0;0;158;0;0;0;158;0.92
142869;1021;1021;0;0;0;0;0;0;0;0;0;0;0
142870;1021;1021;0;0;0;0;0;0;0;0;0;0;0
142872;1021;1021;0;0;0;0;0;1;1;0;0;1;678.56
142889;1036;1021->1036;0;0;0;0;0;144;144;0;0;144;6.38
142889;1021;1021;0;0;0;0;0;96;96;0;0;96;6.14
142890;1021;1021;0;0;0;0;0;0;0;0;0;0;0
142891;1021;1021;0;36;0;0;0;96;96;0;0;96;5.71
142895;1021;1021;24;0;12;12;8;0;0;0;0;0;0
142896;1021;1021;1;1;2;0;1;74;74;0;0;74;81.7
142902;1021;1021;0;0;0;0;0;19;19;0;0;19;13.3
142902;1002;1002;100;0;0;100;33;400;400;0;0;400;13.3
142903;1021;1021;0;0;0;0;0;0;0;0;0;0;0
142904;1021;1021;0;0;0;0;0;175;175;30;0;205;17.61
142905;1021;1021;0;0;0;0;0;100;100;0;0;100;18.58
142908;1021;1021;0;150;0;0;49;0;0;0;0;0;0
142909;1021;1021;0;0;0;0;0;0;0;0;0;0;0
142910;1021;1021;0;0;0;0;0;0;0;10;0;10;0
142912;1021;1021;2850;2040;1890;960;2751;5959;5959;0;0;5959;8.31
142912;1006;1021->1006;0;0;0;0;0;60;60;0;0;60;8.47
142913;1021;1021;0;0;0;0;0;372;372;0;0;372;7.08
142916;1021;1021;0;0;0;0;0;160;160;0;0;160;8.55
142917;1021;1021;120;68;0;210;62;0;0;0;0;0;0
142918;1021;1021;90;0;150;60;79;119;119;0;0;119;14.14
142919;1021;1021;0;30;90;240;39;87;87;0;0;87;14.81
142920;1021;1021;30;24;110;40;54;173;173;0;0;173;15.68
142930;1021;1021;0;0;0;0;0;11;11;0;0;11;44.3
142963;1021;1021;6;51;17;21;17;130;130;0;0;130;60.11
142964;1021;1021;0;0;0;0;0;0;0;0;0;0;0
142966;1021;1021;0;0;0;0;0;0;0;0;0;0;0
142967;1021;1021;0;0;0;0;0;0;0;0;0;0;0
142971;1021;1021;120;72;16;0;111;0;0;96;0;96;0
142972;1021;1021;0;0;0;0;30;0;0;72;0;72;0
142973;1021;1021;0;0;0;0;0;0;0;0;0;0;0
142974;1021;1021;0;0;0;0;0;0;0;0;0;0;0
142976;1021;1021;0;0;0;0;0;0;0;0;0;0;0
142977;1021;1021;0;0;0;0;0;0;0;0;0;0;0
142978;1021;1021;0;0;0;0;0;0;0;0;0;0;0
142979;1021;1021;0;0;0;0;0;0;0;0;0;0;0
142980;1021;1021;127;0;0;0;0;0;0;0;0;0;0
142981;1021;1021;24;0;0;0;0;0;0;0;0;0;0
142982;1021;1021;104;40;160;120;246;141;141;360;0;501;28.55
142983;1021;1021;0;0;0;0;0;0;0;0;0;0;0
142985;1021;1021;224;256;272;184;322;530;530;152;0;682;26.62
142989;1021;1021;0;0;0;0;0;0;0;0;0;0;0
142992;1036;1036;0;0;0;0;0;30;30;0;0;30;80.06
142992;1021;1021;534;420;336;240;418;1248;1248;0;0;1248;80.11
142992;1013;-;0;0;0;0;0;0;0;0;0;0;0
142993;1021;1021;0;0;0;0;0;58;58;0;0;58;76.12
142994;1036;1036;0;0;0;0;0;6;6;0;0;6;63.69
142994;1021;1021;0;0;6;0;6;14;14;0;0;14;63.69
143000;1021;1021;0;0;0;0;0;30;30;0;0;30;67.99
143000;1002;1002;0;24;0;0;0;1134;1116;0;0;1134;67.99
143001;1021;1021;12;0;0;0;0;3;3;0;0;3;90
143001;1006;1036->1006;0;0;0;0;0;30;30;0;0;30;90
143001;1002;1002;0;0;0;0;0;12;12;0;0;12;90
143061;1021;1021;0;0;0;0;0;32;32;0;0;32;1149.24
143061;1006;1006;0;0;0;0;0;84;84;0;0;84;1170.75
143067;1021;1021;0;0;0;0;0;46;46;0;0;46;32.42
143067;1002;1002;10;0;0;0;3;24;24;0;0;24;32.48
143105;1021;1021;0;0;0;0;0;75;0;0;0;75;13.75
143112;1021;1021;0;0;0;11;0;55;55;0;0;55;73.22
143113;1021;1021;1;0;1;1;1;250;250;0;0;250;38.8
143122;1036;1036;0;0;0;0;12;9;9;0;0;9;6.7
143122;1021;1021;882;583;865;692;774;32;32;3500;0;3532;7.02
143122;1013;-;0;0;0;0;0;0;0;0;0;0;0
143122;1009;1009;0;0;0;0;0;0;0;0;0;0;0
143122;1006;1036->1006;36;36;6;0;14;712;65;0;0;712;6.87
143122;1002;1002;636;457;598;351;544;266;262;3500;0;3766;7.29
143124;1021;1021;0;0;0;0;0;21099;21099;0;0;21099;0.87
143124;1006;1036->1006;0;0;0;0;0;100;100;0;0;100;0.91
143124;1002;1002;0;0;0;0;0;100;100;0;0;100;0.91
143134;1036;1036;0;0;0;0;0;0;0;0;0;0;0
143134;1021;1021;0;0;0;0;0;0;0;0;0;0;0
143134;1010;1010;0;0;0;0;0;0;0;0;0;0;0
143134;1009;1009;0;0;0;0;0;0;0;0;0;0;0
143134;1006;1006;0;0;0;0;0;0;0;0;0;0;0
143135;1021;1021;21;20;42;6;28;88;88;0;0;88;48.53
143140;1021;1021;0;0;0;0;0;398;398;0;0;398;28.41
143141;1021;1021;0;0;0;0;0;600;300;0;0;600;30.71
143142;1021;1021;0;0;0;0;0;1346;1346;0;0;1346;27.43
143143;1021;1021;0;0;0;0;0;1600;1600;0;0;1600;22.48
143144;1021;1021;0;0;0;0;0;398;398;0;0;398;38.03
143146;1021;1021;0;0;0;0;0;1840;1840;0;0;1840;38.02
143147;1021;1021;0;0;0;0;0;1000;1000;0;0;1000;30.05
143148;1021;1021;0;0;0;0;0;2120;2120;0;0;2120;29.95
143149;1021;1021;0;0;0;0;0;80;40;0;0;80;34.09
143151;1021;1021;0;0;0;0;0;400;400;0;0;400;16.07
143152;1021;1021;0;0;0;0;0;2400;2400;0;0;2400;18.76
143153;1021;1021;0;0;0;0;0;1590;1590;0;0;1590;15.71
143154;1021;1021;0;0;0;0;0;300;300;0;0;300;16.56
143155;1021;1021;0;0;0;0;0;100;100;0;0;100;24.72
143156;1021;1021;0;0;0;0;0;509;509;0;0;509;25.57
143157;1021;1021;0;0;0;0;0;380;380;0;0;380;22.74
143168;1036;1036;0;0;0;0;0;0;0;0;0;0;0
143168;1010;1010;0;0;0;0;0;0;0;0;0;0;0
143168;1009;1009;0;0;0;0;0;0;0;0;0;0;0
143168;1006;1006;0;0;0;0;0;0;0;0;0;0;0
143169;1036;1036;0;0;0;0;0;0;0;0;0;0;0
143169;1021;1021;0;0;0;0;0;0;0;0;0;0;0
143169;1010;1010;0;0;0;0;0;0;0;0;0;0;0
143169;1009;1009;0;0;0;0;0;0;0;0;0;0;0
143169;1006;1006;0;0;0;0;0;0;0;0;0;0;0
143170;1036;1036;0;0;0;0;0;0;0;0;0;0;0
143170;1021;1021;0;0;0;0;0;9;9;0;0;9;1.94
143170;1010;1010;0;0;0;0;0;0;0;0;0;0;0
143170;1009;1009;0;0;0;0;0;0;0;0;0;0;0
143170;1006;1006;0;0;0;0;0;0;0;0;0;0;0
143171;1036;1036;0;0;0;0;0;0;0;0;0;0;0
143171;1021;1021;0;0;0;0;0;0;0;0;0;0;0
143171;1010;1010;0;0;0;0;0;0;0;0;0;0;0
143171;1009;1009;0;0;0;0;0;0;0;0;0;0;0
143171;1006;1006;0;0;0;0;0;0;0;0;0;0;0
143172;1036;1036;0;0;0;0;0;0;0;0;0;0;0
143172;1021;1021;0;0;0;0;0;0;0;0;0;0;0
143172;1010;1010;0;0;0;0;0;0;0;0;0;0;0
143172;1009;1009;0;0;0;0;0;0;0;0;0;0;0
143172;1006;1006;0;0;0;0;0;0;0;0;0;0;0
143182;1021;1021;0;0;0;0;0;12;12;0;0;12;286.65
143183;1021;1021;9;0;0;0;3;23;23;0;0;23;290
143184;1036;1036;0;0;0;0;0;6;6;0;0;6;330
143184;1021;1021;0;0;2;1;2;2;2;0;0;2;330
143184;1010;1010;0;0;0;0;0;10;10;0;0;10;330
143184;1006;1036->1006;0;1;0;0;0;2;2;0;0;2;330
143184;1003;1003;0;0;0;0;0;7;0;0;0;7;330
143188;1036;1036;0;0;0;0;0;30;30;0;0;30;18.9
143188;1010;1010;0;0;0;0;0;10;10;0;0;10;18.9
143236;1021;1021;0;0;0;0;0;0;0;0;0;0;0
143237;1021;1021;0;0;0;0;0;0;0;0;0;0;0
143282;1021;1021;48;12;48;36;58;34;34;0;0;34;48.27
143283;1021;1021;0;0;0;0;0;82;82;0;0;82;492.23
143284;1021;1021;0;0;0;0;0;109;109;0;0;109;46.24
143292;1021;1021;0;0;0;0;0;74500;74500;0;0;74500;1.26
143313;1021;1021;20;10;0;0;10;80;80;0;0;80;168.36
143314;1021;1021;0;0;0;0;0;8;8;0;0;8;123.75
143315;1021;1021;36;12;0;12;13;569;569;0;0;569;57.81
143316;1021;1021;0;0;0;0;0;35;35;0;0;35;333.5
143317;1021;1021;0;0;0;0;0;80;80;0;0;80;93.18
143318;1021;1021;4;0;0;0;0;0;0;0;0;0;0
143319;1003;1003;0;0;0;0;0;0;0;6;0;6;0
143329;1021;1021;0;24;0;48;0;37;37;0;0;37;57.35
143329;1013;-;0;0;0;0;0;0;0;0;0;0;0
143329;1006;1006;0;0;0;0;0;48;48;0;0;48;57.35
143331;1036;1036;250;0;0;0;82;0;0;0;0;0;0
143333;1021;1021;0;0;0;0;0;0;0;0;0;0;0
143333;1002;1021->1002;0;0;0;0;0;0;0;0;0;0;0
143336;1021;1021;10;0;0;0;0;0;0;0;0;0;0
143339;1021;1021;0;0;0;1;0;4;4;0;0;4;842.23
143341;1021;1021;18;50;40;20;30;190;190;0;0;190;49.19
143341;1006;1036->1006;0;0;0;200;0;22;22;0;0;22;49.19
143341;1002;1002;2;0;0;0;0;20;20;0;0;20;49.19
143344;1021;1021;0;0;0;0;0;1;1;0;0;1;302.46
143345;1021;1021;0;0;0;0;0;0;0;0;0;0;0
143349;1024;1010->1024;0;0;0;0;0;0;0;0;0;0;0
